Interpreter,Algorithm,DataType,Size,Time (s),PeakMemory (MB)
CPython,Bubble,Random,10,0.0002045000437647,0.0001068115234375
CPython,Bubble,Sorted,10,1.4400109648704529e-05,0.0001068115234375
CPython,Bubble,Reversed,10,1.5600118786096573e-05,0.0001068115234375
CPython,Bubble,AlmostSorted,10,1.6300007700920105e-05,0.0001068115234375
CPython,Bubble,Random,500,0.0481805999297648,0.0002250671386718
CPython,Bubble,Sorted,500,0.0241485999431461,0.0002250671386718
CPython,Bubble,Reversed,500,0.0574457999318838,0.0002250671386718
CPython,Bubble,AlmostSorted,500,0.0261016001459211,0.0002250671386718
CPython,Bubble,Random,1000,0.3848496000282466,0.0002555847167968
CPython,Bubble,Sorted,1000,0.1979229000862687,0.0002555847167968
CPython,Bubble,Reversed,1000,0.4519825000315904,0.0002555847167968
CPython,Bubble,AlmostSorted,1000,0.2120437000412494,0.0002555847167968
CPython,Selection,Random,10,1.7999904230237007e-05,0.0001068115234375
CPython,Selection,Sorted,10,1.400010660290718e-05,0.0001068115234375
CPython,Selection,Reversed,10,1.6700010746717453e-05,0.0001068115234375
CPython,Selection,AlmostSorted,10,1.4699995517730711e-05,0.0001068115234375
CPython,Selection,Random,500,0.0329176997765898,0.0002250671386718
CPython,Selection,Sorted,500,0.0323592000640928,0.0002250671386718
CPython,Selection,Reversed,500,0.0328951999545097,0.0002250671386718
CPython,Selection,AlmostSorted,500,0.0322809000499546,0.0002250671386718
CPython,Selection,Random,1000,0.1576857999898493,0.0002555847167968
CPython,Selection,Sorted,1000,0.1559650001581758,0.0002555847167968
CPython,Selection,Reversed,1000,0.1574995000846684,0.0002555847167968
CPython,Selection,AlmostSorted,1000,0.1574822000693529,0.0002555847167968
CPython,Insertion,Random,10,1.24999787658453e-05,7.62939453125e-05
CPython,Insertion,Sorted,10,6.200047209858894e-06,7.62939453125e-05
CPython,Insertion,Reversed,10,6.699934601783752e-06,7.62939453125e-05
CPython,Insertion,AlmostSorted,10,5.299923941493034e-06,7.62939453125e-05
CPython,Insertion,Random,500,0.0220774998888373,0.0001335144042968
CPython,Insertion,Sorted,500,0.0003459998406469,0.0001335144042968
