Interpreter,Algorithm,DataType,Size,Time (s),PeakMemory (MB)
CPython,Bubble,Random,10,0.00020450004376471043,0.0001068115234375
CPython,Bubble,Sorted,10,1.4400109648704529e-05,0.0001068115234375
CPython,Bubble,Reversed,10,1.5600118786096573e-05,0.0001068115234375
CPython,Bubble,AlmostSorted,10,1.6300007700920105e-05,0.0001068115234375
CPython,Bubble,Random,500,0.04818059992976487,0.000225067138671875
CPython,Bubble,Sorted,500,0.02414859994314611,0.000225067138671875
CPython,Bubble,Reversed,500,0.05744579993188381,0.000225067138671875
CPython,Bubble,AlmostSorted,500,0.02610160014592111,0.000225067138671875
CPython,Bubble,Random,1000,0.38484960002824664,0.000255584716796875
CPython,Bubble,Sorted,1000,0.19792290008626878,0.000255584716796875
CPython,Bubble,Reversed,1000,0.45198250003159046,0.000255584716796875
CPython,Bubble,AlmostSorted,1000,0.2120437000412494,0.000255584716796875
CPython,Selection,Random,10,1.7999904230237007e-05,0.0001068115234375
CPython,Selection,Sorted,10,1.400010660290718e-05,0.0001068115234375
CPython,Selection,Reversed,10,1.6700010746717453e-05,0.0001068115234375
CPython,Selection,AlmostSorted,10,1.4699995517730713e-05,0.0001068115234375
CPython,Selection,Random,500,0.03291769977658987,0.000225067138671875
CPython,Selection,Sorted,500,0.032359200064092875,0.000225067138671875
CPython,Selection,Reversed,500,0.032895199954509735,0.000225067138671875
CPython,Selection,AlmostSorted,500,0.03228090004995465,0.000225067138671875
CPython,Selection,Random,1000,0.15768579998984933,0.000255584716796875
CPython,Selection,Sorted,1000,0.15596500015817583,0.000255584716796875
CPython,Selection,Reversed,1000,0.1574995000846684,0.000255584716796875
CPython,Selection,AlmostSorted,1000,0.15748220006935298,0.000255584716796875
CPython,Insertion,Random,10,1.2499978765845299e-05,7.62939453125e-05
CPython,Insertion,Sorted,10,6.200047209858894e-06,7.62939453125e-05
CPython,Insertion,Reversed,10,6.6999346017837524e-06,7.62939453125e-05
CPython,Insertion,AlmostSorted,10,5.299923941493034e-06,7.62939453125e-05
CPython,Insertion,Random,500,0.022077499888837337,0.000133514404296875
CPython,Insertion,Sorted,500,0.0003459998406469822,0.000133514404296875
CPython,Insertion,Reversed,500,0.029417000012472272,0.000133514404296875
CPython,Insertion,AlmostSorted,500,0.0015837999526411295,0.000133514404296875
CPython,Insertion,Random,1000,0.15478859981521964,0.000133514404296875
CPython,Insertion,Sorted,1000,0.0008157000411301851,0.000133514404296875
CPython,Insertion,Reversed,1000,0.23666110006161034,0.000133514404296875
CPython,Insertion,AlmostSorted,1000,0.0107980000320822,0.000133514404296875
CPython,Quick,Random,10,4.220008850097656e-05,0.0003509521484375
CPython,Quick,Sorted,10,2.859998494386673e-05,0.0003662109375
CPython,Quick,Reversed,10,6.350013427436352e-05,0.0003814697265625
CPython,Quick,AlmostSorted,10,2.5300076231360435e-05,0.0003662109375
CPython,Quick,Random,500,0.001475500175729394,0.01868438720703125
CPython,Quick,Sorted,500,0.001398799940943718,0.012054443359375
CPython,Quick,Reversed,500,0.0013321000151336193,0.01207733154296875
CPython,Quick,AlmostSorted,500,0.0013115000911056995,0.01207733154296875
CPython,Quick,Random,1000,0.0032267000060528517,0.04491424560546875
CPython,Quick,Sorted,1000,0.0028196999337524176,0.023834228515625
CPython,Quick,Reversed,1000,0.0028007999062538147,0.02385711669921875
CPython,Quick,AlmostSorted,1000,0.00290570012293756,0.02416229248046875
CPython,Quick,Random,50000,0.21931970003060997,2.2322006225585938
CPython,Quick,Sorted,50000,0.1705065998248756,1.205780029296875
CPython,Quick,Reversed,50000,0.17007149988785386,1.2058029174804688
CPython,Quick,AlmostSorted,50000,0.1691104001365602,1.2258758544921875
CPython,Quick,Random,1000000,6.1697909000795335,38.291595458984375
CPython,Quick,Sorted,1000000,3.3486782000400126,23.549163818359375
CPython,Quick,Reversed,1000000,3.344388599973172,23.54918670654297
CPython,Quick,AlmostSorted,1000000,3.705092499963939,23.810760498046875
CPython,Merge,Random,10,6.779981777071953e-05,0.00025177001953125
CPython,Merge,Sorted,10,3.820005804300308e-05,0.00028228759765625
CPython,Merge,Reversed,10,2.759997732937336e-05,0.00028228759765625
CPython,Merge,AlmostSorted,10,2.9299873858690262e-05,0.00028228759765625
CPython,Merge,Random,500,0.001592900138348341,0.00807952880859375
CPython,Merge,Sorted,500,0.001308100065216422,0.0095672607421875
CPython,Merge,Reversed,500,0.0015244998503476381,0.0095672607421875
CPython,Merge,AlmostSorted,500,0.001682099886238575,0.00872802734375
CPython,Merge,Random,1000,0.004794599954038858,0.016448974609375
CPython,Merge,Sorted,1000,0.003406799864023924,0.019134521484375
CPython,Merge,Reversed,1000,0.003477799938991666,0.019134521484375
CPython,Merge,AlmostSorted,1000,0.004316899925470352,0.01692962646484375
CPython,Merge,Random,50000,0.7844022000208497,0.841583251953125
CPython,Merge,Sorted,50000,0.4355955000501126,0.9537353515625
