Interpreter,Algorithm,DataType,Size,Time (s),PeakMemory (MB)
PyPy,Bubble,Random,10,2.1099811419844627e-05,N/A
PyPy,Bubble,Sorted,10,1.3299984857439995e-05,N/A
PyPy,Bubble,Reversed,10,1.9999919459223747e-05,N/A
PyPy,Bubble,AlmostSorted,10,1.2200092896819115e-05,N/A
PyPy,Bubble,Random,500,0.010083100060001016,N/A
PyPy,Bubble,Sorted,500,0.00028920010663568974,N/A
PyPy,Bubble,Reversed,500,0.00023099989630281925,N/A
PyPy,Bubble,AlmostSorted,500,0.00025819987058639526,N/A
PyPy,Bubble,Random,1000,0.0008837999776005745,N/A
PyPy,Bubble,Sorted,1000,0.0010801998432725668,N/A
PyPy,Bubble,Reversed,1000,0.0006401999853551388,N/A
PyPy,Bubble,AlmostSorted,1000,0.00096879992634058,N/A
PyPy,Selection,Random,10,1.6700010746717453e-05,N/A
PyPy,Selection,Sorted,10,1.8300022929906845e-05,N/A
PyPy,Selection,Reversed,10,1.8900027498602867e-05,N/A
PyPy,Selection,AlmostSorted,10,1.5199882909655571e-05,N/A
PyPy,Selection,Random,500,0.0024097999557852745,N/A
PyPy,Selection,Sorted,500,0.00013830000534653664,N/A
PyPy,Selection,Reversed,500,0.00038659991696476936,N/A
PyPy,Selection,AlmostSorted,500,0.00010489998385310173,N/A
PyPy,Selection,Random,1000,0.0005450998432934284,N/A
PyPy,Selection,Sorted,1000,0.0003930001985281706,N/A
PyPy,Selection,Reversed,1000,0.0012425999157130718,N/A
PyPy,Selection,AlmostSorted,1000,0.0004867999814450741,N/A
PyPy,Insertion,Random,10,2.2399937734007835e-05,N/A
PyPy,Insertion,Sorted,10,6.700167432427406e-06,N/A
PyPy,Insertion,Reversed,10,1.5300000086426735e-05,N/A
PyPy,Insertion,AlmostSorted,10,4.800036549568176e-06,N/A
PyPy,Insertion,Random,500,0.0015813999343663454,N/A
PyPy,Insertion,Sorted,500,0.0001764001790434122,N/A
PyPy,Insertion,Reversed,500,0.0007258998230099678,N/A
PyPy,Insertion,AlmostSorted,500,0.00033549987711012363,N/A
PyPy,Insertion,Random,1000,0.00024500000290572643,N/A
PyPy,Insertion,Sorted,1000,0.00044039986096322536,N/A
PyPy,Insertion,Reversed,1000,0.00048349983990192413,N/A
PyPy,Insertion,AlmostSorted,1000,3.0499882996082306e-05,N/A
PyPy,Quick,Random,10,0.0004926999099552631,N/A
PyPy,Quick,Sorted,10,2.359994687139988e-05,N/A
PyPy,Quick,Reversed,10,2.4600187316536903e-05,N/A
PyPy,Quick,AlmostSorted,10,2.2500054910779e-05,N/A
PyPy,Quick,Random,500,0.008182600140571594,N/A
PyPy,Quick,Sorted,500,0.0019415998831391335,N/A
PyPy,Quick,Reversed,500,0.0013050001580268145,N/A
PyPy,Quick,AlmostSorted,500,0.004139999859035015,N/A
PyPy,Quick,Random,1000,0.006366000045090914,N/A
PyPy,Quick,Sorted,1000,0.0026295999996364117,N/A
PyPy,Quick,Reversed,1000,0.0032601000275462866,N/A
PyPy,Quick,AlmostSorted,1000,0.0009169999975711107,N/A
PyPy,Quick,Random,50000,0.053802300011739135,N/A
PyPy,Quick,Sorted,50000,0.014788599917665124,N/A
PyPy,Quick,Reversed,50000,0.014645799994468689,N/A
PyPy,Quick,AlmostSorted,50000,0.015122799901291728,N/A
PyPy,Quick,Random,1000000,0.6591079998761415,N/A
PyPy,Quick,Sorted,1000000,0.4609115000348538,N/A
PyPy,Quick,Reversed,1000000,0.397106199990958,N/A
PyPy,Quick,AlmostSorted,1000000,0.4178251000121236,N/A
